Flight,YearMonthDay,ScheduledDeparture,DepHour,Origin,O_WeatherStationID,O_HourlyPrecip,O_SkyConditions,O_Visibility,O_DBT,O_DewPointTemp,O_RelativeHumidityPercent,O_WindSpeed,O_WindDirection,O_WindGustValue,O_StationPressure,O_GroundHeight,O_StationHeight,O_BarometerHeight,O_Latitude,O_Longitude,O_TimeZone,ScheduledArrival,ArrHour,Destination,D_WeatherStationID,D_HourlyPrecip,D_SkyConditions,D_Visibility,D_DBT,D_DewPointTemp,D_RelativeHumidityPercent,D_WindSpeed,D_WindDirection,D_WindGustValue,D_StationPressure,D_GroundHeight,D_StationHeight,D_BarometerHeight,D_Latitude,D_Longitude,D_TimeZone,ScheduledTravelTime,Distance,ActualArrivalTimeStamp
MCO_MSY_39477,20040704,04/07/04 13:45,13,MCO,12815,0.0,SCT,10,91,71,52,3,VRB,0,29.91,95,106,98,28.26,-81.19,5,04/07/04 14:25,14,MSY,12916,0.0,FEW,10,89,75,63,7,360,0,29.98,4,20,7,29.59,-90.15,6,100,550,04/07/04 14:25
SFO_BUR_51674,20040102,02/01/04 11:00,11,SFO,23234,0.0,FEW,10,51,44,77,10,180,0,29.96,86,18,89,37.37,-122.24,8,02/01/04 12:10,12,BUR,23152,0.0,BKN,3,50,49,96,8,160,0,29.25,731,732,734,34.12,-118.22,8,70,326,02/01/04 12:10
AVL_CVG_38861,20040705,05/07/04 16:59,16,AVL,3812,0.0,CLR,10,86,65,50,10,350,0,27.80,2171,2170,2174,35.26,-82.32,5,05/07/04 18:09,18,CVG,93814,0.0,FEW,9,80,70,71,6,210,0,29.03,882,883,885,39.02,-84.4,5,70,275,05/07/04 18:09
RIC_CVG_34907,20041122,22/11/04 13:26,13,RIC,13740,0.0,SCT,10,64,54,70,11,180,0,29.89,164,163,167,37.31,-77.19,5,22/11/04 15:00,15,CVG,93814,0.0,FEW,5,50,46,86,0,000,0,29.13,882,883,885,39.02,-84.4,5,94,413,22/11/04 15:00
FLL_LGA_51738,20040927,27/09/04 12:05,12,FLL,12849,0.0,SCT,10,89,74,61,12,250,0,29.76,117,11,120,26.04,-80.09,5,27/09/04 14:50,14,LGA,14732,0.0,FEW,10,74,59,60,10,180,0,30.06,36,31,39,40.47,-73.53,5,165,1076,27/09/04 14:50
ORD_EWR_54887,20041103,03/11/04 06:12,6,ORD,94846,0.0,OVC,10,46,36,68,7,010,0,29.59,655,674,658,41.59,-87.55,6,03/11/04 09:07,9,EWR,14734,0.0,FEW,10,54,34,47,17,330,32,30.03,25,30,28,40.43,-74.1,5,115,719,03/11/04 09:07
RSW_EWR_50812,20040331,31/03/04 15:00,15,RSW,12894,0.0,CLR,10,80,42,26,12,300,17,29.90,29,30,32,26.32,-81.45,5,31/03/04 17:57,17,EWR,14734,0.0,OVC,5,47,45,93,11,060,0,29.81,25,30,28,40.43,-74.1,5,177,1068,31/03/04 17:57
SLC_LAS_36351,20040102,02/01/04 15:20,15,SLC,24127,0.0,FEW,10,29,18,64,4,360,0,25.62,4221,4227,4224,40.47,-111.58,7,02/01/04 15:35,15,LAS,23169,0.0,SCT,10,51,41,69,9,190,0,27.64,2127,2180,2091,36.05,-115.1,8,75,368,02/01/04 15:35
SLC_PSP_53709,20040706,06/07/04 11:30,11,SLC,24127,0.0,BKN,10,85,34,16,6,VRB,0,25.80,4221,4227,4224,40.47,-111.58,7,06/07/04 12:06,12,PSP,93138,,,,,,,,,,,444,450,447,33.5,-116.31,8,96,541,06/07/04 12:06
DEN_SEA_32081,20041107,07/11/04 07:20,7,DEN,3017,0.0,FEW,10,46,20,35,6,210,0,24.87,5379,5431,5382,39.5,-104.4,7,07/11/04 09:25,9,SEA,24233,0.0,FEW,10,53,40,61,10,190,0,29.59,447,450,450,47.28,-122.19,8,185,1024,07/11/04 09:25
SJC_SEA_37890,20040507,07/05/04 09:15,9,SJC,23293,0.0,FEW,10,67,49,53,4,320,0,29.99,87,50,90,37.22,-121.56,8,07/05/04 11:25,11,SEA,24233,0.0,FEW,10,53,51,93,8,210,0,29.55,447,450,450,47.28,-122.19,8,130,697,07/05/04 11:25
IAH_BNA_50040,20041111,11/11/04 15:45,15,IAH,12960,0.0,FEW,10,71,51,49,13,350,0,29.94,118,108,121,29.59,-95.22,6,11/11/04 17:41,17,BNA,13897,0.0,OVC,10,59,56,90,12,180,0,29.38,571,605,574,36.07,-86.41,6,116,657,11/11/04 19:41
ORD_TVC_45656,20040713,13/07/04 16:25,16,ORD,94846,0.0,FEW,10,85,72,65,10,240,16,28.99,655,674,658,41.59,-87.55,6,13/07/04 18:27,18,TVC,14850,0.14,FEW,9,68,63,84,0,000,0,28.98,626,630,629,44.44,-85.35,5,62,224,13/07/04 18:27
ATL_BDL_46180,20040709,09/07/04 17:10,17,ATL,13874,0.0,FEW,10,85,69,59,7,290,0,29.05,971,1026,974,33.38,-84.26,5,09/07/04 19:31,19,BDL,14740,0.0,FEW,10,68,56,66,5,270,0,29.81,162,179,165,41.56,-72.41,5,141,859,09/07/04 19:31
BWI_CLE_50197,20040517,17/05/04 11:45,11,BWI,93721,0.0,SCT,7,81,66,61,5,VRB,0,30.11,193,155,196,39.1,-76.41,5,17/05/04 12:55,12,CLE,14820,0.0,FEW,10,78,66,67,11,200,0,29.37,802,805,805,41.24,-81.51,5,70,314,17/05/04 14:37
MSP_TPA_50291,20040312,12/03/04 09:01,9,MSP,14922,0.0,FEW,10,16,2,54,6,200,0,29.35,871,838,874,44.53,-93.14,6,12/03/04 13:04,13,TPA,12842,0.0,FEW,10,71,51,49,5,250,0,30.18,8,11,40,27.58,-82.32,5,183,1307,12/03/04 13:04
CVG_OKC_33170,20040526,26/05/04 17:35,17,CVG,93814,0.0,FEW,10,68,59,73,4,340,0,28.84,882,883,885,39.02,-84.4,5,26/05/04 18:48,18,OKC,13967,0.0,FEW,10,83,70,65,13,150,20,28.32,1281,1304,1284,35.23,-97.36,6,133,756,26/05/04 18:48
